,Bootstrap_nr,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Performance_pressure,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Leadership_quality,Sense_of_community,Contract_duration_2.0,Contract_duration_3.0,Leadership_position_2.0,Leadership_position_3.0,Job_satisfaction,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
44,14,Current_position_6.0,0.108926602,0.045067591,0.003551249,-0.318695264,-0.017653389,0.107055326,-0.000259412,0.238168942,0.102851591,-0.012757276,0.074951718,0.098289629,-0.013400851,-0.096826559,-0.005010112,-0.049013462,501,579,31155.33401,0,37099.05923,0.160616531,0.16021229,0.029466897,0.16021229,0.029934075,0.308476151,91.24430431,511.2079846,48.37784784
45,15,Current_position_4.0,0.029095861,-0.016268569,-0.02214408,-0.038678056,0.151451956,0.011524863,-0.003506422,0.003335109,0.001870977,-0.00579038,0.010273653,0.093510209,-0.000247456,0.063777811,0.04654393,-0.222394929,501,579,30727.87342,0,37232.2495,0.175328959,0.17469737,0.046207141,0.17469737,0.04693706,0.306317821,92.57182169,512.5355019,47.71408916
46,15,Current_position_5.0,0.080451889,-0.036453771,-0.017880947,-0.077500763,0.190448248,0.143211442,0.007032009,0.044112712,0.008394701,-0.003430862,-0.027522601,0.187402626,-0.000877121,0.156083271,0.079287773,-0.24841547,501,579,30727.87342,0,37232.2495,0.175328959,0.17469737,0.046207141,0.17469737,0.04693706,0.306317821,92.57182169,512.5355019,47.71408916
47,15,Current_position_6.0,0.108084039,-0.053435101,0.001764298,-0.094774469,0.217406805,0.194964516,0.012581328,0.123897526,0.033662855,-0.00897061,0.027581627,0.137564843,-0.00087709,0.248798993,0.098090162,-0.25290862,501,579,30727.87342,0,37232.2495,0.175328959,0.17469737,0.046207141,0.17469737,0.04693706,0.306317821,92.57182169,512.5355019,47.71408916
48,16,Current_position_4.0,0.09178281,-0.008949254,-0.017501543,-0.064495537,-0.016420939,0.037067403,0.008224824,0.030626764,0.000188316,-0.000537892,0.004716322,0.031468139,0.039479008,0.025828085,0.046440287,-0.159834833,501,579,32001.5979,0,37997.54152,0.158155379,0.157798199,0.026676961,0.157798199,0.027089749,0.312705161,88.61615558,508.5798358,49.69192221
49,16,Current_position_5.0,0.306636946,-0.047850545,0.012887241,-0.176230042,-0.028575411,0.108136304,0.025578748,0.0586465,0.000237066,-0.001513036,0.027064652,0.072956028,0.077609508,0.100634187,0.107571503,-0.227083361,501,579,32001.5979,0,37997.54152,0.158155379,0.157798199,0.026676961,0.157798199,0.027089749,0.312705161,88.61615558,508.5798358,49.69192221
50,16,Current_position_6.0,0.427994048,-0.029261658,-0.03324501,-0.325255662,-0.021532976,0.137349937,0.013304827,0.185674609,0.003127803,0.00057066,0.148850609,0.058235387,0.077608692,0.133098639,0.056840096,-0.186381831,501,579,32001.5979,0,37997.54152,0.158155379,0.157798199,0.026676961,0.157798199,0.027089749,0.312705161,88.61615558,508.5798358,49.69192221
51,17,Current_position_4.0,0.110935797,-0.047439536,-0.003795933,-0.044662499,0.00702761,0.000539012,0.000637233,0.075974384,0.018001823,0.007771176,0.028696195,0.038629912,0.013668603,0.06898276,0.00857673,-0.087221079,501,579,30032.53237,0,36406.64238,0.175733305,0.175080963,0.046650454,0.175080963,0.047404358,0.302774044,94.73126592,514.6949462,46.63436704
52,17,Current_position_5.0,0.278295688,-0.077220141,-0.003245261,-0.078418191,0.008866191,0.019519696,-0.0103941,0.151791298,0.03982028,0.009298384,0.028432706,0.079474682,0.019582113,0.113345628,0.034839886,-0.05043766,501,579,30032.53237,0,36406.64238,0.175733305,0.175080963,0.046650454,0.175080963,0.047404358,0.302774044,94.73126592,514.6949462,46.63436704
53,17,Current_position_6.0,0.436324118,-0.068298482,-0.005045374,-0.094906917,0.01301738,0.034204565,-0.023818032,0.405631566,0.1367898,-0.032605788,0.119309678,0.084568032,0.022818981,0.131163549,0.015542642,-0.018578001,501,579,30032.53237,0,36406.64238,0.175733305,0.175080963,0.046650454,0.175080963,0.047404358,0.302774044,94.73126592,514.6949462,46.63436704
