,Bootstrap_nr,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Performance_pressure,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Leadership_quality,Sense_of_community,Contract_duration_2.0,Contract_duration_3.0,Leadership_position_2.0,Leadership_position_3.0,Job_satisfaction,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
23,7,Current_position_6.0,0.307072804,0.009792254,0.001196385,0.046226619,0.007595498,0.008877557,0.012409082,0.143020543,0.128737465,-0.005761442,0.020495122,0.002276227,-0.019117396,-0.007819512,0.000585631,0.289820269,111,174,2212.295845,0,3953.492931,0.444027047,0.440419932,0.122820433,0.440419932,0.128474831,0.171583936,151.129516,504.0777154,3.435241995
24,8,Current_position_4.0,0.097122203,0.003885519,-0.001508184,-0.002966093,-0.006020721,-0.000402719,0.02396757,0.026987809,-0.009851755,-0.004638293,0.019672361,0.000525837,-0.001707153,0.014356121,8.81E-05,-0.09663607,111,174,2195.861893,0,4158.974884,0.476819314,0.472018477,0.172353288,0.472018477,0.179878925,0.170911651,151.1805531,504.1287525,3.409723437
25,8,Current_position_5.0,0.250666487,0.017932292,-7.60E-05,-0.007325984,-0.007172161,0.003185428,0.008025142,0.019203247,0.001659447,-0.012873742,0.01889324,0.001515035,-0.005722378,0.031382488,0.000186367,-0.045922355,111,174,2195.861893,0,4158.974884,0.476819314,0.472018477,0.172353288,0.472018477,0.179878925,0.170911651,151.1805531,504.1287525,3.409723437
26,8,Current_position_6.0,0.333781073,0.023104902,0.002608868,-0.01113587,-0.008128084,0.004293329,0.008513075,0.170368527,0.034164385,-0.021505655,0.022837983,0.001381299,-0.005722378,0.05164511,0.000150527,-0.032637433,111,174,2195.861893,0,4158.974884,0.476819314,0.472018477,0.172353288,0.472018477,0.179878925,0.170911651,151.1805531,504.1287525,3.409723437
27,9,Current_position_4.0,0.082016906,-0.003819116,0.003459174,0.003667773,0.004901729,-0.003084954,0.037546931,0.024950796,0.017742311,-0.006340391,0.00595143,0.00034241,-0.018943838,0.008181415,-0.010767944,0.028589916,111,174,2140.389075,0,3837.843281,0.446103744,0.442293779,0.125757815,0.442293779,0.131730194,0.168622562,151.352829,504.3010283,3.32358552
28,9,Current_position_5.0,0.223195524,-0.006964228,0.00619585,0.00627136,0.013201364,0.013850449,0.010424968,0.064635601,0.035286649,-0.014174118,-0.008801953,0.000899984,-0.020460032,0.01906905,-0.020869964,0.087855871,111,174,2140.389075,0,3837.843281,0.446103744,0.442293779,0.125757815,0.442293779,0.131730194,0.168622562,151.352829,504.3010283,3.32358552
29,9,Current_position_6.0,0.300405092,-0.010616505,0.007004296,0.007270837,0.006819809,0.019904039,0.020863565,0.140573974,0.094315726,-0.005428167,0.025028026,0.000893477,-0.022869163,0.023286594,-0.013560804,0.044939424,111,174,2140.389075,0,3837.843281,0.446103744,0.442293779,0.125757815,0.442293779,0.131730194,0.168622562,151.352829,504.3010283,3.32358552
30,10,Current_position_4.0,0.074034953,0.01393736,0.021640799,0.017127952,0.000206677,0.001159118,0.01614916,0.028134779,0.0331002,0.007253958,0.011353647,-0.010182281,-0.002087227,0.005480666,-0.008384865,-0.112771435,111,174,2070.413395,0,3854.153801,0.46757296,0.462809867,0.157918169,0.462809867,0.16538464,0.165689909,151.5701447,504.5183441,3.214927631
31,10,Current_position_5.0,0.205095518,0.031636141,0.022338887,0.027252968,0.000484469,-0.000220574,0.000789435,0.024567324,0.027569192,0.001274735,0.005562432,-0.019871276,-0.002344983,0.008699758,-0.018419851,-0.022367464,111,174,2070.413395,0,3854.153801,0.46757296,0.462809867,0.157918169,0.462809867,0.16538464,0.165689909,151.5701447,504.5183441,3.214927631
32,10,Current_position_6.0,0.29432331,0.031121106,0.031733368,0.029389789,0.000420639,-0.000999386,0.00747431,0.238772228,0.089929833,-0.006667345,0.022089493,-0.018062472,-0.002764466,0.01243085,-0.01421097,-0.174051445,111,174,2070.413395,0,3854.153801,0.46757296,0.462809867,0.157918169,0.462809867,0.16538464,0.165689909,151.5701447,504.5183441,3.214927631
