,Bootstrap_nr,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Performance_pressure,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Leadership_quality,Sense_of_community,Contract_duration_2.0,Contract_duration_3.0,Contract_duration_6.0,Leadership_position_2.0,Leadership_position_3.0
5560,1390,Current_position_3.0,-0.0025628172066593535,-0.0016091957845947127,-0.0038589305416766384,-0.0004748500209216584,-0.000617524680249459,0.000862191070925691,-0.00014143908303991006,-1.699125023810897e-05,0.0019166236831559946,-0.00015931534958284917,-0.00011550916288465843,-8.627783294740011e-05,2.9172789080723127e-05,1.26352649138386e-09,-0.00023372963292953288,-0.0016532192365707717
5561,1390,Current_position_4.0,-0.00589512283781078,-0.004765318375506079,0.0010720568020601863,0.004105989518205356,0.00046378100507826514,-0.001204992720947314,0.007848835780772483,-0.000175851468237077,0.00024610171663696004,0.00026408342439291667,0.0009668427619500792,0.000252286624643402,0.0010217873917149393,0.0011841834629645917,-0.0007945107119484561,-0.005120694235456217
5562,1390,Current_position_5.0,-0.005518331125243497,-0.0032567110711309534,-0.0013506600083155638,0.007442713410412709,0.00016228965532814687,-0.002198167023405112,0.012563461209806424,-0.0002374198487524211,-0.0005130406183973321,-0.0012265483082380985,-0.002615863686361935,-0.0001615285538095605,0.0010217867797594662,1.073066457994407e-09,-0.0019499533994062005,-0.0016773113955244458
5563,1390,Current_position_6.0,-0.00865820821066811,-0.003898339842268469,0.0003498320149661235,0.006992267413260088,-0.00020412915696508605,-0.0047646555098327355,0.013832675944218845,-0.000678267157824201,0.0017087267007801017,0.00021635286134487146,-0.0003140301081301555,-9.138414328128787e-05,0.0009664288535405303,0.004782265556283678,-0.0022174339062201592,-0.0010485190184740336
5564,1391,Current_position_3.0,-0.002075820158696071,0.0014627046733760752,0.0005772646795485127,0.00022791026732882084,0.00014350905220586764,0.0002025295724559729,0.0020399717235545754,0.00014123019760750298,0.00034415529189555543,4.2414505984522995e-05,0.0002438055415468591,0.00021556909089900039,0.0004959124307622054,2.6922164099719784e-09,3.545777656893221e-05,-0.002946681206590583
5565,1391,Current_position_4.0,-0.003409225162556832,0.0006006106230788324,0.0004910522813294575,0.0023494681656281986,0.0008137852175838619,-0.0022952802700214403,0.006841675289256788,0.0007673900698167103,-0.0018425448711312826,0.0007386894819167773,0.0003932376554706933,-0.0007687620275218444,0.008219894579926841,0.0011673853183240238,0.00012994345121995676,-0.00471323653666712
5566,1391,Current_position_5.0,-0.0045331700731755555,0.0017669573821966187,0.0010066780232105693,0.0037974853410473255,0.0011444165863578291,-0.0007881385160688776,0.01012316456314286,0.0002521649143790388,0.00370335197706998,-0.0002660533913297765,0.0010919620003672882,0.0008063864210425724,0.008219589707132671,0.0006523496753715144,0.00019028296461376035,-0.003700159818096637
5567,1391,Current_position_6.0,-0.005403887344362421,0.002676352989220212,-0.00019790220520375057,0.0037947104259281887,-0.00016050461979623564,-0.0036293501607475506,0.011819509453887739,0.001095295114741475,0.0009610480019292671,-5.062374079977392e-05,0.0002952723989755623,0.00018645169223030015,0.008062956034936224,0.0007701550165805575,0.0002887748539075843,-0.0020556910546575217
5568,1392,Current_position_3.0,-0.0037259549020255385,0.0007158690566774949,0.0003656753320317829,-3.781419546714022e-06,-0.0013943083923933324,-0.00019295952457422182,0.0036668344505293294,-0.0001285536689083391,0.00072778631115803,7.664042817247162e-05,0.0005588412817579809,-0.00046000172216074546,0.0006733265466627004,-1.3422533868612096e-09,7.680732443184033e-05,-0.003499611309235272
5569,1392,Current_position_4.0,-0.008908355503886299,0.00440531720677029,-0.0004952240340869366,0.0001444206064491389,0.0009420774980108214,-0.00223292657079193,0.009849139301690086,0.0003552473653886019,0.0009427796193193655,0.0003684599669963833,-0.001323712727122399,0.002773030528186517,0.011783199485580018,0.0011652840491219994,0.0008229321715880732,-0.006128980861052196
