,Bootstrap_nr,Salary,Actual_hrs,Effort,Policy_influence,Performance_pressure,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Leadership_quality,Sense_of_community,Contract_duration_2.0,Contract_duration_3.0,Contract_duration_6.0,Leadership_position_2.0,Leadership_position_3.0,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
11,11.0,-6.230032860974252e-05,0.004177260860703644,-0.0005743545666672852,-0.0018341427649124205,-0.012491086290978897,-3.921092478070223e-05,0.0007865006648237824,0.4232818639651052,0.37998032574732615,0.0072190548561868965,0.11656278336771576,-0.16491381079060147,-0.28811397336671796,-0.07412729977594372,-0.07776811671815084,-0.02126889680456321,1000.0,1159.0,31051.587038722366,0.0,58724.9984323229,0.4779628972465001,0.47123732877562374,0.38716406405094794,0.47123732877562374,0.39495899790869354,0.2245487161038704,247.9745827848497,1020.9519947419476,52.01270860757515
12,12.0,0.0002242830673498389,0.0008052520368873665,-0.0018363044966959977,0.010227195901137414,0.05117464670529531,0.0019108377140359706,0.0026953589946911703,0.31944335270743973,0.3827816664220008,0.04250607769956572,0.09842105211784123,0.05816974556292629,0.17315867068108745,0.08654067929105423,0.1166772870157786,-0.0971221742707158,1000.0,1159.0,33072.767674671624,0.0,59851.072227388286,0.4535417398381605,0.44741561940577423,0.3595547028912923,0.44741561940577423,0.366654876472428,0.23197708632893854,241.20345837630947,1014.1808703334075,55.398270811845265
13,13.0,0.000437149317139418,0.0005493654560146915,-0.0022955133919457644,0.04465527550033423,-0.0026194317752048645,-0.0003837285862623569,0.000730506619953528,0.3562459104429885,0.41100319813793723,0.0037298397185899453,0.12376673927390032,0.1135780217214737,-0.013373065763796738,0.13532998028717366,-0.06032768560482521,-0.09421888665487846,1000.0,1159.0,32391.125267735148,0.0,60129.20074849924,0.4676781684767448,0.46130790257438115,0.3756558590837077,0.46130790257438115,0.38303899726454727,0.22949874349985447,243.48701752852548,1016.4644294856234,54.256491235737265
14,14.0,-0.00029663961761031794,0.0024173483175867544,-0.0009817832059693108,0.049120715228040165,-0.040416105197760455,-2.2193033942027028e-05,0.002883857398716354,0.3954136958561318,0.35209172480759293,0.023036853953533526,0.10978120575194558,-0.061919491080761044,-0.12837224357741842,0.08005333773817166,0.042253074497314226,-0.16203345228139612,1000.0,1159.0,32075.136807975225,0.0,61055.44787534746,0.48118564772577577,0.4746556134767739,0.39112585601958094,0.4746556134767738,0.39869416571417415,0.2283407350617691,244.54560533341635,1017.5230172905143,53.727197333291834
15,15.0,0.0001785759457092849,-0.004790558421486078,-0.0007336370016101591,0.07173727144128271,-0.02933190228806771,0.003055578153452537,0.00444156227790483,0.47128003029059296,0.29647691955360883,0.006443890965897403,0.13671512637028208,-0.15087027546080928,-0.3053599336682404,0.06885761647031373,0.01052119148505276,-0.05224882062865409,1000.0,1159.0,31163.630319375898,0.0,59206.91631282884,0.480366699868784,0.4736488190886675,0.3899589813237656,0.4736488190886675,0.39774500514792066,0.2249669264259305,247.599228410801,1020.576640367899,52.20038579459949
16,16.0,-0.0004077943248700383,-0.001987090843356225,-0.0008882784132236107,0.04120694166476522,-0.027692920537362692,0.0015215633540655905,0.003307316634656799,0.41896587060802015,0.39148604996606506,-0.016865924318745677,0.11752661965472312,0.0984715029915181,0.09264592377006539,0.16798233228127707,0.2354369179084503,-0.03561750983607264,1000.0,1159.0,31910.552840664343,0.0,59940.795392331696,0.47414752076972555,0.46763214215294346,0.3829856527552614,0.46763214215294346,0.390536976572112,0.22773524912140816,245.09697540815966,1018.0743873652576,53.451512295920175
17,17.0,-0.0004078008899911574,-0.0019870872716908463,-0.0008882839272711516,0.04120694164841492,-0.027692920735378858,0.0015215579259693207,0.0033073199393444954,0.41896587080385533,0.3914860500406522,-0.01686592374468361,0.11752661983665884,0.09847150299091191,0.09264592376015188,0.16798233232337276,0.23543691790757781,-0.035617509745762645,1000.0,1159.0,32186.97622155036,0.0,60958.450820855964,0.4784738690163116,0.4719850030943027,0.38803061858629684,0.47198500309430275,0.3955512141899052,0.2287512651578699,244.17093393115456,1017.1483458882525,53.91453303442272
18,18.0,0.0002822670480731798,-4.5989669896342645e-05,-0.0011022362504341816,0.005039923106237718,-0.005084147044176789,0.0007767215004875033,0.0030817237182383115,0.47362307171195106,0.3047929324208042,0.013238133599927596,0.1416281478721588,-0.09433632266308685,-0.2542552991224498,-0.05829915158218718,0.0032133827694053917,0.07101107302366337,1000.0,1159.0,32681.636075037102,0.0,59811.390794395375,0.4598406706711009,0.45358842787351583,0.36670898790540485,0.4535884278735158,0.37395533730780584,0.23055825187672532,242.51378199317554,1015.4911939502736,54.74310900341223
19,19.0,0.000283000965897902,0.005892182833131282,-0.00377187472623676,0.03440380552068315,0.02024198585268213,0.001601690962963081,0.00444815761652512,0.3237214944636798,0.39066337219037367,0.059587796830598456,0.08634669011524977,-0.03864855372230939,-0.017149380856039002,-0.050802239191346035,0.04417180369063654,-0.017994517570747628,1000.0,1159.0,32874.54762526856,0.0,59987.14222584471,0.45817517910220096,0.45197343288167224,0.36483720870985814,0.45197343288167224,0.37202503257945085,0.2312591286979939,241.86751214315387,1014.8449241002519,55.066243928423056
20,20.0,0.0008686485406807177,-0.0030504715898095783,-0.0003021134645238259,0.0335025752945338,-0.054893246530267704,-0.0022441475695679503,0.002209942504515474,0.39843169829695335,0.31964912812750335,0.06125565611023821,0.13068845774437485,0.06842663076580886,0.11442899055955166,-0.10265157749113894,0.03928381933706592,0.024084049578363215,1000.0,1159.0,31897.59195915124,0.0,59758.1673227598,0.47272984633092774,0.4662220515085549,0.3813513576984151,0.4662220515085549,0.3888938918975452,0.22768749910106628,245.1403954467295,1018.1178074038274,53.42980227663524
