,Age,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Job_satisfaction
342,52.0,6.0,34.61538461538461,40.0,100.0,3.0,39.31847968545216,39.31847968545216,3.357638888888889,3.6666666666666665,4.15
343,57.0,6.0,44.42307692307692,53.0,132.5,5.0,10.0,10.0,3.8333333333333335,3.1666666666666665,4.4
344,63.0,6.0,56.53846153846153,22.0,110.0,2.0,50.0,0.0,3.5416666666666665,4.333333333333333,4.0
345,44.0,6.0,27.69230769230769,25.0,125.0,1.0,68.18181818181817,4.545454545454546,3.6666666666666665,2.3333333333333335,2.6
346,50.0,6.0,36.34615384615385,40.0,100.0,4.0,37.5,0.0,4.0,3.3333333333333335,4.4
347,50.0,6.0,25.961538461538463,40.0,100.0,4.0,45.0,30.0,3.6979166666666665,3.0,3.4
348,57.0,6.0,45.57692307692308,50.0,125.0,5.0,62.64916467780429,17.899761336515514,3.201388888888889,4.666666666666667,4.2
396,42.0,6.0,25.961538461538463,50.0,125.0,1.0,54.347826086956516,10.869565217391305,2.5,2.0,2.4
398,49.0,6.0,34.61538461538461,55.0,137.5,2.0,45.45454545454545,18.181818181818183,2.8333333333333335,3.8333333333333335,3.8
399,62.0,6.0,43.26923076923077,52.5,131.25,1.0,52.63157894736842,10.526315789473683,2.1666666666666665,4.333333333333333,3.6
400,57.0,6.0,31.730769230769234,60.0,150.0,2.0,20.865758754863815,3.2101167315175094,2.5,3.3333333333333335,3.2
401,58.0,6.0,51.34615384615385,40.0,100.0,2.0,75.0,0.0,3.9173076923076926,4.5,5.0
402,54.0,6.0,17.307692307692307,60.0,150.0,1.0,48.15175097276265,16.05058365758755,2.3333333333333335,1.5,2.8
403,39.0,6.0,28.846153846153847,55.0,137.5,3.0,7.766990291262135,9.70873786407767,2.3333333333333335,2.1666666666666665,3.2
404,45.0,6.0,30.576923076923077,40.0,100.0,1.0,44.44444444444444,22.22222222222222,3.0,4.666666666666667,4.8
405,53.0,6.0,34.61538461538461,40.0,100.0,4.0,19.963853326174576,15.54685077775845,2.6666666666666665,2.3333333333333335,3.8
406,45.0,6.0,25.961538461538463,40.0,100.0,3.0,45.379849971465696,14.135823266111563,3.2506410256410256,3.3333333333333335,4.6
407,52.0,6.0,33.46153846153847,40.0,100.0,3.0,49.92467173897969,12.959612705576811,2.417307692307692,2.8333333333333335,3.2
408,54.0,6.0,17.307692307692307,50.0,125.0,4.0,40.0,30.0,2.0,3.1666666666666665,3.4
409,57.0,6.0,42.603550295857985,6.5,100.0,2.0,94.73684210526315,0.0,3.0,4.666666666666667,3.6
410,45.0,6.0,23.076923076923077,63.0,157.5,3.0,75.47169811320755,7.547169811320755,1.1666666666666667,1.5,1.8
411,34.0,6.0,23.076923076923077,40.0,100.0,1.0,81.3953488372093,11.627906976744185,2.6666666666666665,4.0,3.6
412,42.0,6.0,20.192307692307693,40.0,100.0,4.0,60.97560975609756,12.195121951219512,4.166666666666667,4.0,4.6
413,44.0,6.0,28.846153846153847,47.5,118.75,1.0,42.30769230769231,38.46153846153847,3.1666666666666665,2.5,3.0
414,55.0,6.0,28.846153846153847,50.0,125.0,3.0,47.61904761904761,19.047619047619047,3.5,3.1666666666666665,4.6
415,45.0,6.0,16.730769230769234,50.0,125.0,1.0,41.60389311581641,12.959612705576811,2.858974358974359,3.1666666666666665,3.2
416,44.0,6.0,23.076923076923077,45.0,112.5,1.0,77.77777777777779,22.22222222222222,3.6666666666666665,3.1666666666666665,3.8
417,49.0,6.0,47.30769230769231,40.0,100.0,3.0,25.0,12.5,3.1666666666666665,3.5,4.6
418,50.0,6.0,28.846153846153847,40.0,100.0,3.0,62.5,12.5,3.5,2.8333333333333335,3.8
419,47.0,6.0,15.0,30.0,150.0,3.0,84.84848484848484,4.545454545454546,2.3333333333333335,3.1046511627906974,3.0
420,58.0,6.0,34.61538461538461,40.0,100.0,2.0,60.0,30.0,3.1666666666666665,3.5,4.0
421,33.0,6.0,21.923076923076923,40.0,100.0,3.0,44.44444444444444,33.33333333333333,3.3333333333333335,4.166666666666667,4.0
422,51.0,6.0,39.80769230769231,40.0,100.0,1.0,47.277936962750715,23.638968481375358,2.3333333333333335,3.6666666666666665,4.2
423,29.0,6.0,20.192307692307693,40.0,100.0,3.0,60.0,20.0,3.3333333333333335,4.0,3.6
424,61.0,6.0,46.15384615384615,47.5,118.75,1.0,73.68421052631578,10.526315789473683,3.6666666666666665,1.8333333333333333,3.2
425,33.0,6.0,24.230769230769234,40.0,100.0,2.0,26.666666666666668,11.11111111111111,4.333333333333333,3.3333333333333335,4.2
426,51.0,6.0,26.94230769230769,40.0,100.0,1.0,65.78947368421053,21.052631578947366,3.1666666666666665,2.5,2.8
427,40.0,6.0,26.538461538461537,55.0,137.5,1.0,63.63636363636363,9.090909090909092,2.0,2.5,2.4
428,35.0,6.0,34.61538461538461,57.5,143.75,3.0,58.333333333333336,16.666666666666664,2.1666666666666665,4.259689922480621,3.2
429,39.0,6.0,15.576923076923077,45.0,112.5,2.0,15.903614457831324,15.903614457831324,3.6666666666666665,3.0,3.4
430,41.0,6.0,20.769230769230766,55.0,137.5,3.0,9.090909090909092,27.27272727272727,2.8333333333333335,1.5,3.2
431,49.0,6.0,23.653846153846153,50.0,125.0,1.0,66.66666666666666,11.11111111111111,2.0,1.3333333333333333,2.6
432,64.0,6.0,40.38461538461539,60.0,150.0,3.0,0.0,22.28725799189554,2.0,2.6666666666666665,3.2
433,42.0,6.0,31.153846153846153,40.0,100.0,1.0,45.45454545454545,24.242424242424242,3.3333333333333335,3.5,3.6
434,35.0,6.0,14.423076923076923,40.0,100.0,2.0,27.27272727272727,18.181818181818183,5.0,4.0,4.2
435,46.0,6.0,34.61538461538461,40.0,100.0,3.0,70.0,20.0,4.5,4.666666666666667,4.8
436,60.0,6.0,20.192307692307693,40.0,100.0,1.0,87.5,0.0,3.6033542039356,3.8333333333333335,4.0
437,59.0,6.0,50.53846153846153,50.0,125.0,3.0,57.35805330243336,19.119351100811123,2.8333333333333335,3.5,4.0
438,55.0,6.0,31.730769230769234,40.0,100.0,1.0,75.0,10.0,1.5,1.8333333333333333,2.2
439,61.0,6.0,34.61538461538461,60.0,150.0,1.0,81.56203657933762,12.234305486900643,2.8333333333333335,4.333333333333333,4.8
444,28.0,2.0,18.86923076923077,40.0,133.33333333333331,2.0,0.0,97.22222222222221,4.166666666666667,4.333333333333333,3.6
549,45.0,3.0,40.38461538461539,60.0,150.0,1.0,12.5,37.5,2.0,1.5,3.2
550,36.0,3.0,25.961538461538463,40.0,100.0,2.0,25.0,12.5,1.8333333333333333,1.1666666666666667,2.2
